@relation dataset-weka.filters.unsupervised.attribute.AddValues-C11-L4

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 {0,1,2,3,4}

@data
140,'2018/02/22 12:59:16:255',2,0.502362,0.48911,0.616365,0,?,?,100,?
141,'2018/02/22 12:59:16:281',2,0.502348,0.489123,0.616365,0,?,?,100,?
142,'2018/02/22 12:59:16:306',2,0.502348,0.489123,0.616365,0,?,?,100,?
143,'2018/02/22 12:59:16:332',2,0.502348,0.489123,0.616365,0,?,?,100,?
144,'2018/02/22 12:59:16:357',2,0.502348,0.489123,0.616365,0,?,?,100,?
145,'2018/02/22 12:59:16:384',2,0.502348,0.489123,0.616365,0,?,?,100,?
146,'2018/02/22 12:59:16:409',2,0.502348,0.489123,0.616365,0,?,?,100,?
147,'2018/02/22 12:59:16:435',2,0.502347,0.489123,0.616391,0,?,?,100,?
148,'2018/02/22 12:59:16:460',2,0.502347,0.489123,0.616391,0,?,?,100,?
149,'2018/02/22 12:59:16:486',2,0.502347,0.489123,0.616391,0,?,?,100,?
150,'2018/02/22 12:59:16:514',2,0.502347,0.489123,0.616391,0,?,?,100,?
151,'2018/02/22 12:59:16:538',2,0.502347,0.489123,0.616391,0,?,?,100,?
152,'2018/02/22 12:59:16:563',2,0.502347,0.489123,0.616391,0,?,?,100,?
153,'2018/02/22 12:59:16:588',2,0.502346,0.489122,0.616417,0,?,?,100,?
154,'2018/02/22 12:59:16:614',2,0.502346,0.489122,0.616417,0,?,?,100,?
155,'2018/02/22 12:59:16:641',2,0.502346,0.489122,0.616417,0,?,?,100,?
156,'2018/02/22 12:59:16:666',2,0.502276,0.48916,0.616392,0,?,?,100,?
157,'2018/02/22 12:59:16:691',2,0.502217,0.489128,0.616551,0,?,?,100,?
158,'2018/02/22 12:59:16:726',2,0.502125,0.488832,0.616901,0,?,?,100,?
159,'2018/02/22 12:59:16:758',2,0.502051,0.488608,0.616986,0,?,?,100,?
160,'2018/02/22 12:59:16:768',2,0.501934,0.488421,0.6171,0,?,?,100,?
161,'2018/02/22 12:59:16:793',2,0.501797,0.488359,0.617157,0,?,?,100,?
162,'2018/02/22 12:59:16:823',2,0.501454,0.488505,0.617296,0,?,?,100,?
163,'2018/02/22 12:59:16:861',2,0.501251,0.488605,0.617429,0,?,?,100,?
164,'2018/02/22 12:59:16:872',2,0.501068,0.488636,0.617513,0,?,?,100,?
165,'2018/02/22 12:59:17:036',2,0.500884,0.488695,0.617569,0,?,?,100,?
166,'2018/02/22 12:59:17:036',2,0.500764,0.488799,0.617674,0,?,?,100,?
167,'2018/02/22 12:59:17:036',2,0.500529,0.488952,0.617861,0,?,?,100,?
168,'2018/02/22 12:59:17:036',2,0.500514,0.488965,0.617888,0,?,?,100,?
169,'2018/02/22 12:59:17:036',2,0.500514,0.488965,0.617888,0,?,?,100,?
170,'2018/02/22 12:59:17:038',2,0.500524,0.488979,0.617993,0,?,?,100,?
171,'2018/02/22 12:59:17:058',2,0.500523,0.488979,0.617991,0,?,?,100,?
172,'2018/02/22 12:59:17:124',2,0.500651,0.488945,0.617936,0,?,?,100,?
173,'2018/02/22 12:59:17:124',2,0.500651,0.488945,0.617936,0,?,?,100,?
174,'2018/02/22 12:59:17:127',2,0.500651,0.488945,0.617936,0,?,?,100,?
175,'2018/02/22 12:59:17:285',2,0.500745,0.488839,0.617779,0,?,?,100,?
176,'2018/02/22 12:59:17:285',2,0.500828,0.488844,0.61775,0,?,?,100,?
177,'2018/02/22 12:59:17:285',2,0.500828,0.488844,0.61775,0,?,?,100,?
178,'2018/02/22 12:59:17:285',2,0.500829,0.488844,0.617724,0,?,?,100,?
179,'2018/02/22 12:59:17:285',2,0.500829,0.488844,0.617724,0,?,?,100,?
180,'2018/02/22 12:59:17:285',2,0.500845,0.488858,0.617645,0,?,?,100,?
181,'2018/02/22 12:59:17:301',2,0.500829,0.488872,0.61767,0,?,?,100,?
182,'2018/02/22 12:59:17:327',2,0.500829,0.488872,0.61767,0,?,?,100,?
183,'2018/02/22 12:59:17:373',2,0.50083,0.488871,0.617671,0,?,?,100,?
184,'2018/02/22 12:59:17:532',2,0.500815,0.488884,0.617671,0,?,?,100,?
185,'2018/02/22 12:59:17:533',2,0.500815,0.488884,0.617671,0,?,?,100,?
186,'2018/02/22 12:59:17:533',2,0.500829,0.488872,0.61767,0,?,?,100,?
187,'2018/02/22 12:59:17:533',2,0.500814,0.488884,0.617697,0,?,?,100,?
188,'2018/02/22 12:59:17:533',2,0.500814,0.488885,0.61767,0,?,?,100,?
189,'2018/02/22 12:59:17:533',2,0.500814,0.488884,0.617697,0,?,?,100,?
190,'2018/02/22 12:59:17:533',2,0.500814,0.488884,0.617697,0,?,?,100,?
191,'2018/02/22 12:59:17:558',2,0.500814,0.488884,0.617697,0,?,?,100,?
192,'2018/02/22 12:59:17:622',2,0.500814,0.488884,0.617697,0,?,?,100,?
193,'2018/02/22 12:59:17:622',2,0.500829,0.488871,0.617697,0,?,?,100,?
194,'2018/02/22 12:59:17:633',2,0.500829,0.488871,0.617697,0,?,?,100,?
195,'2018/02/22 12:59:17:657',2,0.500829,0.488871,0.617697,0,?,?,100,?
196,'2018/02/22 12:59:17:712',2,0.500829,0.488871,0.617697,0,?,?,100,?
197,'2018/02/22 12:59:17:712',2,0.500829,0.488871,0.617697,0,?,?,100,?
198,'2018/02/22 12:59:17:736',2,0.500829,0.488871,0.617697,0,?,?,100,?
199,'2018/02/22 12:59:17:888',2,0.500829,0.488871,0.617697,0,?,?,100,?
200,'2018/02/22 12:59:17:888',2,0.500813,0.488884,0.617723,0,?,?,100,?
201,'2018/02/22 12:59:17:889',2,0.500813,0.488884,0.617723,0,?,?,100,?
202,'2018/02/22 12:59:17:889',2,0.500813,0.488884,0.617723,0,?,?,100,?
203,'2018/02/22 12:59:17:889',2,0.500813,0.488884,0.617723,0,?,?,100,?
204,'2018/02/22 12:59:17:889',2,0.500813,0.488884,0.617723,0,?,?,100,?
205,'2018/02/22 12:59:17:913',2,0.500813,0.488884,0.617723,0,?,?,100,?
206,'2018/02/22 12:59:18:063',2,0.500813,0.488884,0.617723,0,?,?,100,?
207,'2018/02/22 12:59:18:064',2,0.500813,0.488884,0.617723,0,?,?,100,?
208,'2018/02/22 12:59:18:064',2,0.500813,0.488884,0.617723,0,?,?,100,?
209,'2018/02/22 12:59:18:064',2,0.500813,0.488884,0.617723,0,?,?,100,?
210,'2018/02/22 12:59:18:064',2,0.500813,0.488884,0.617723,0,?,?,100,?
211,'2018/02/22 12:59:18:069',2,0.500825,0.488898,0.617748,0,?,?,100,?
212,'2018/02/22 12:59:18:095',2,0.500812,0.488884,0.617749,0,?,?,100,?
213,'2018/02/22 12:59:18:238',2,0.500812,0.488884,0.617749,0,?,?,100,?
214,'2018/02/22 12:59:18:238',2,0.500812,0.488884,0.617749,0,?,?,100,?
215,'2018/02/22 12:59:18:238',2,0.500812,0.488884,0.617749,0,?,?,100,?
216,'2018/02/22 12:59:18:238',2,0.500825,0.488898,0.617748,0,?,?,100,?
217,'2018/02/22 12:59:18:238',2,0.500812,0.488884,0.617777,0,?,?,100,?
218,'2018/02/22 12:59:18:256',2,0.500811,0.488884,0.617775,0,?,?,100,?
219,'2018/02/22 12:59:18:345',2,0.500811,0.488884,0.617775,0,?,?,100,?
220,'2018/02/22 12:59:18:345',2,0.500824,0.488898,0.617802,0,?,?,100,?
221,'2018/02/22 12:59:18:346',2,0.500824,0.488898,0.617802,0,?,?,100,?
222,'2018/02/22 12:59:18:404',2,0.500824,0.488898,0.617802,0,?,?,100,?
